# Generation MaxFitness AvgFitness
1 0 449.04
2 0 419.334
3 0 404.443
4 0 391.917
5 0 368.808
6 0 336.719
7 0 324.722
8 0 305.254
9 0 302.91
10 0 281.333
11 0 260.119
12 0 233.802
13 0 219.704
14 0 193.839
15 0 180.832
16 0 168.929
17 0 155.264
18 0 138.313
19 0 124.699
20 0 116.19
21 0 109.882
22 0 104.416
23 0 100.179
24 0 92.1822
25 0 90.5896
26 0 85.9249
27 0 84.4588
28 0 76.747
29 0 67.51
30 0 60.2626
31 0 54.1704
32 0 52.1479
33 0 43.4002
34 0 39.4666
35 0 34.4065
36 0 33.2154
37 0 25.845
38 0 24.8851
39 0 25.8211
40 0 26.296
41 0 25.8266
42 0 24.4069
43 0 26.2824
44 0 25.8691
45 0 20.6797
46 0 19.0954
47 0 17.2583
48 0 20.4283
49 0 21.1596
50 0 21.405
51 0 18.7132
52 0 21.0345
53 0 24.5697
54 0 21.016
55 0 21.96
56 0 18.4623
57 0 14.9106
58 0 14.7764
59 0 17.584
60 0 17.8844
61 0 16.7348
62 0 17.6541
63 0 18.5907
64 0 18.8668
65 0 19.4174
66 0 17.1859
67 0 16.6367
68 0 15.8599
69 0 15.3018
70 0 16.3264
71 0 18.6288
72 0 19.1806
73 0 19.1337
74 0 20.3997
75 0 18.3892
76 0 16.7691
77 0 20.6974
78 0 20.3165
79 0 20.0161
80 0 18.9899
81 0 16.192
82 0 16.4475
83 0 17.2739
84 0 17.8829
85 0 17.6111
86 0 18.4316
87 0 17.8837
88 0 18.8864
89 0 19.0838
90 0 17.8148
91 0 17.603
92 0 16.524
93 0 16.9769
94 0 20.8356
95 0 19.249
96 0 22.7892
97 0 24.4012
98 0 24.8492
99 0 21.1498
100 0 20.0569
101 0 18.3396
102 0 18.0414
103 0 18.4675
104 0 17.8593
105 0 17.6041
106 0 18.0816
107 0 16.7481
108 0 17.8905
109 0 19.3479
110 0 20.6821
111 0 21.7057
112 0 20.2635
113 0 21.2167
114 0 21.8193
115 0 26.4216
116 0 25.8429
117 0 25.3145
118 0 26.9256
119 0 23.6334
120 0 21.2807
121 0 21.3647
122 0 21.9206
123 0 23.6675
124 0 23.6242
125 0 24.0018
126 0 21.2862
127 0 20.6682
128 0 19.9762
129 0 21.0094
130 0 23.5126
131 0 20.9488
132 0 23.2233
133 0 23.9456
134 0 23.8159
135 0 22.204
136 0 21.7587
137 0 19.1133
138 0 16.7818
139 0 16.6436
140 0 17.704
141 0 18.437
142 0 19.0584
143 0 17.1279
144 0 17.903
145 0 16.4779
146 0 13.8131
147 0 13.4941
148 0 13.0821
149 0 13.5023
150 0 14.7267
151 0 13.7838
152 0 15.2915
153 0 16.5369
154 0 15.7419
155 0 16.4482
156 0 17.2885
157 0 17.2203
158 0 19.4797
159 0 19.0911
160 0 16.4676
161 0 17.4311
162 0 20.1172
163 0 16.9562
164 0 18.3984
165 0 19.8293
166 0 20.7381
167 0 20.6834
168 0 20.559
169 0 19.5725
170 0 19.1017
171 0 17.5763
172 0 15.3885
173 0 15.3577
174 0 15.6837
175 0 16.1697
176 0 17.4721
177 0 18.2227
178 0 16.679
179 0 14.6225
180 0 10.6711
181 0 31.1945
182 0 34.9793
183 0 37.4747
184 0 38.4675
185 0 33.058
186 0 31.3333
187 0 32.6772
188 0 29.8831
189 0 29.1162
190 0 24.7374
191 0 23.007
192 0 20.1882
193 0 38.7772
194 0 37.6498
195 0 36.0427
196 0 33.2392
197 0 31.1075
198 0 28.9223
199 0 29.7615
200 0 27.593
201 0 26.2215
202 0 28.9478
203 0 27.4131
204 0 25.0194
205 0 24.7532
206 0 23.9087
207 0 23.5044
208 0 22.2334
209 0 18.6466
210 0 17.1107
211 0 14.0003
212 0 13.5912
213 0 12.8558
214 0 15.176
215 0 14.565
216 0 10.2479
217 0 12.8997
218 0 16.8165
219 0 18.3396
220 0 18.8778
221 0 19.7826
222 0 20.6807
223 0 32.1744
224 0 29.2819
225 0 28.0432
226 0 28.3455
227 0 27.9055
228 0 29.6256
229 0 26.6088
230 0 27.0171
231 0 27.6203
232 0 27.8948
233 0 28.5062
234 0 30.5806
235 0 28.7141
236 0 26.5843
237 0 27.2734
238 0 26.247
239 0 26.3868
240 0 24.3332
241 0 27.2984
242 0 26.717
243 0 27.5402
244 0 26.1255
245 0 25.6112
246 0 26.1558
247 0 21.6713
248 0 20.1132
249 0 18.8104
250 0 18.7555
251 0 16.4206
252 0 17.2097
253 0 18.9433
254 0 19.0484
255 0 16.7443
256 0 16.4715
257 0 16.6917
258 0 18.6366
259 0 19.2616
260 0 20.9267
261 0 16.769
262 0 17.426
263 0 19.155
264 0 19.0973
265 0 17.674
266 0 19.0264
267 0 20.5046
268 0 19.2966
269 0 20.2653
270 0 21.4493
271 0 21.1141
272 0 18.3693
273 0 17.6867
274 0 18.5461
275 0 18.324
276 0 19.5494
277 0 20.3675
278 0 21.1046
279 0 19.1725
280 0 18.3802
281 0 19.9699
282 0 20.2078
283 0 24.1219
284 0 22.115
285 0 22.5753
