# Generation MaxFitness AvgFitness
1 10.8742 25.3398
2 10.8742 25.0614
3 10.8742 24.9117
4 10.8742 24.2051
5 10.8742 23.6662
6 10.8742 23.3681
7 10.8742 23.0916
8 10.356 22.4112
9 10.356 22.2143
10 10.356 22.0087
11 10.356 21.6245
12 10.356 21.5004
13 10.356 21.5785
14 10.356 21.294
15 10.356 21.2244
16 10.356 20.9972
17 10.356 20.852
18 10.356 20.6154
19 10.1148 20.2812
20 10.1148 20.0087
21 9.83401 19.7297
22 9.83401 19.5709
23 9.83401 19.3863
24 9.83401 19.0454
25 9.83401 18.8522
26 9.83401 18.3992
27 9.83401 17.8748
28 9.83401 17.5343
29 9.26965 17.3018
30 9.26965 16.872
31 8.90116 16.5451
32 8.90116 16.0796
33 8.90116 15.8929
34 8.90116 15.4085
35 8.90116 14.9617
36 8.90116 14.8367
37 8.8215 14.7151
38 8.8215 14.7147
39 8.11023 14.6467
40 7.83172 14.4032
41 7.83172 14.4307
42 7.83172 14.4543
43 7.83172 13.9912
44 7.83172 13.7062
45 7.83172 13.3939
46 7.83172 13.2725
47 7.83172 13.2223
48 7.28121 12.9592
49 7.28121 12.5427
50 7.28121 12.6797
51 7.28121 12.5908
52 7.28121 12.5308
53 7.28121 12.6897
54 7.28121 12.5815
55 7.28121 12.5789
56 7.28121 12.389
57 7.28121 12.2425
58 6.88488 11.922
59 6.88488 11.9934
60 6.88488 11.8551
61 6.88488 11.6742
62 6.88488 11.6571
63 6.88488 11.4627
64 6.88488 11.1307
65 6.6633 10.8593
66 6.6633 10.7338
67 6.2484 10.6212
68 6.2484 10.5218
69 6.2484 10.4112
70 6.2484 10.3983
71 6.2484 10.3132
72 6.2484 10.2498
73 6.2484 10.2805
74 6.2484 10.1299
75 6.2484 9.92427
76 5.97624 9.86322
77 5.97624 9.86752
78 5.97624 9.79476
79 5.97624 9.66181
80 5.97624 9.48897
81 5.97624 9.44508
82 5.97624 9.334
83 5.92247 9.26709
84 5.90607 9.23638
85 5.90607 9.09231
86 5.51852 8.90291
87 5.51852 8.66684
88 5.51852 8.58433
89 5.51852 8.58054
90 5.51852 8.37822
91 5.51852 8.31521
92 5.46542 8.19006
93 5.46542 8.17044
94 5.46542 8.04632
95 5.30793 7.87195
96 5.30793 7.80235
97 5.30793 7.89274
98 5.30793 7.61841
99 5.30793 7.54701
100 5.30793 7.58189
101 4.97775 7.35053
102 4.97775 7.33507
103 4.97775 7.26359
104 4.91143 7.14437
105 4.91143 7.14052
106 4.91143 7.09196
107 4.91143 7.04846
108 4.91143 6.92941
109 4.87605 6.89625
110 4.87605 6.88861
111 4.77481 6.76188
112 4.77481 6.75768
113 4.77481 6.59249
114 4.61839 6.53613
115 4.61839 6.5511
116 4.60981 6.65008
117 4.60981 6.69478
118 4.60981 6.58852
119 4.60981 6.57434
120 4.42974 6.56254
121 4.42974 6.46071
122 4.42974 6.5315
123 4.42974 6.41474
124 4.42974 6.37455
125 4.42974 6.25023
126 4.42974 6.17899
127 4.42974 6.07863
128 4.42974 6.02777
129 4.42974 5.95636
130 4.42974 5.91918
131 4.19343 5.89059
132 4.19343 5.76194
133 4.19343 5.75209
134 4.15065 5.61169
135 3.9557 5.63254
136 3.9557 5.65766
137 3.90657 5.64944
138 3.90657 5.63923
139 3.90657 5.62042
140 3.90657 5.59713
141 3.82221 5.57534
142 3.77615 5.61437
143 3.77615 5.60525
144 3.77615 5.41902
145 3.77615 5.28605
146 3.76389 5.19364
147 3.74175 5.24082
148 3.51584 5.38414
149 3.51584 5.37492
150 3.51584 5.21425
151 3.49452 5.28326
152 3.49452 5.26137
153 3.49452 5.18569
154 3.49452 5.10158
155 3.49452 5.14609
156 3.42543 5.12655
157 3.42543 5.07965
158 3.42543 5.13582
159 3.42543 5.09383
160 3.42543 5.14976
161 3.42543 5.14372
162 3.42543 5.11622
163 3.30835 5.03935
164 3.30835 5.07421
165 3.30835 4.95146
166 3.30835 4.91731
167 3.30835 4.95469
168 3.30835 5.02064
169 3.30835 4.93808
170 3.3068 4.99971
171 3.3068 4.93888
172 3.3068 4.84547
173 3.3068 4.77506
174 3.3068 4.80745
175 3.12776 4.8275
176 3.12776 4.94148
177 3.00898 4.91871
178 3.00898 4.85339
179 3.00898 4.78996
180 3.00898 4.80152
181 3.00898 4.7964
182 3.00898 4.84328
183 3.00898 4.71161
184 3.00898 4.74455
185 3.00898 4.95284
186 3.00898 4.81042
187 3.00898 4.79535
188 3.00898 4.74326
189 3.00898 4.66801
190 3.00898 4.56821
191 3.00898 4.58191
192 3.00898 4.57812
193 3.00898 4.49558
194 3.00898 4.44441
195 3.00898 4.2878
196 2.97574 4.20858
197 2.97574 4.27025
198 2.97574 4.31222
199 2.97574 4.29301
200 2.96625 4.19588
201 2.81175 4.27933
202 2.81175 4.25998
203 2.81175 4.2331
204 2.81175 4.24121
205 2.81175 4.25819
206 2.81175 4.20769
207 2.81175 4.25849
208 2.79149 4.11522
209 2.79149 4.08554
210 2.79149 4.02068
211 2.77759 4.09472
212 2.73445 4.19823
213 2.73445 4.26546
214 2.73445 4.25876
215 2.73445 4.19959
216 2.73445 4.25618
217 2.73445 4.34234
218 2.72601 4.23281
219 2.68667 4.14792
220 2.68667 4.00418
221 2.68667 3.94398
222 2.68667 4.06277
223 2.68667 4.09154
224 2.68667 3.93472
225 2.68245 4.01588
226 2.68245 4.07165
227 2.65523 4.04919
228 2.61362 3.93536
229 2.61362 3.89326
230 2.61185 3.93556
231 2.58598 3.9738
232 2.58598 3.98132
233 2.58598 3.90931
234 2.58598 3.8109
235 2.58598 3.90608
236 2.58598 3.9742
237 2.58598 3.95173
238 2.58598 3.94622
239 2.58598 4.02134
240 2.58531 3.99807
241 2.58531 3.90547
242 2.58531 4.0148
243 2.58531 3.95006
244 2.58531 3.85786
245 2.58531 3.8468
246 2.56599 3.82922
247 2.52933 3.88222
248 2.52933 4.038
249 2.52933 4.08812
250 2.52769 3.97101
251 2.52769 3.88599
252 2.50275 3.78258
253 2.50275 3.82498
254 2.50275 3.78827
255 2.50275 3.68969
256 2.50275 3.68496
257 2.50275 3.5936
258 2.49865 3.60086
259 2.49865 3.57005
260 2.49865 3.60146
261 2.49865 3.61844
262 2.49865 3.66177
263 2.49865 3.61609
264 2.49865 3.5088
265 2.49865 3.60668
266 2.49669 3.65443
267 2.49669 3.75572
268 2.4849 3.7211
269 2.4849 3.74524
270 2.4849 3.76906
271 2.4849 3.71287
272 2.4849 3.60321
273 2.4849 3.65878
274 2.4849 3.68676
275 2.47723 3.54647
276 2.47723 3.51511
277 2.47723 3.47266
278 2.47723 3.3621
279 2.44108 3.42204
280 2.44108 3.4651
281 2.41571 3.52672
282 2.40788 3.50873
283 2.40788 3.60448
284 2.40788 3.51853
285 2.40788 3.60254
286 2.40788 3.80635
287 2.34519 3.81969
288 2.34519 3.88141
289 2.30136 3.82156
290 2.30136 3.79842
291 2.30136 3.73953
292 2.30136 3.71954
293 2.30136 3.68573
294 2.30136 3.70575
295 2.30136 3.66373
296 2.30136 3.66441
297 2.30136 4.44662
298 2.30136 4.14883
299 2.30136 4.18998
300 2.30136 4.11292
301 2.27799 4.21027
302 2.27799 3.94463
303 2.27799 3.81247
304 2.27799 4.61455
305 2.27799 4.55245
306 2.27799 4.58431
307 2.27799 4.3547
308 2.27799 3.94722
309 2.21583 3.89004
310 2.21583 3.81255
311 2.21583 3.79984
312 2.21583 3.76474
313 2.21583 3.81966
314 2.21583 3.79141
315 2.19294 3.84792
316 2.19294 3.77697
317 2.19294 3.71731
318 2.19294 3.74836
319 2.19294 3.80526
320 2.19294 3.66034
321 2.19294 3.57092
322 2.19294 3.5397
323 2.19294 3.60194
324 2.19294 3.49874
325 2.19294 3.37099
326 2.19294 3.41866
327 2.19294 3.44403
328 2.15166 3.29771
329 2.13404 3.35312
330 2.13404 3.62004
331 2.13404 3.60874
332 2.13404 3.56775
333 2.07432 3.55665
334 2.07432 3.51795
335 2.07432 3.44449
336 2.07432 3.43708
337 2.07432 4.27031
338 2.07432 4.28483
339 2.07432 3.94212
340 2.07432 4.01645
341 2.07432 3.93438
342 2.07432 3.8503
343 2.07155 3.8627
344 2.07155 3.74905
345 2.05353 3.56777
346 2.05353 3.46785
347 2.05353 3.47137
348 2.05353 3.4054
349 2.05353 3.29338
350 2.05353 3.23955
351 2.05353 3.30896
352 2.05353 3.28616
353 2.05353 3.16262
354 2.05353 3.16613
355 2.05353 3.85315
356 2.05353 3.91862
357 2.05353 3.76803
358 2.03558 3.70256
359 2.03558 3.69805
360 2.03558 3.61871
361 2.03558 3.56743
362 2.03558 3.26482
363 2.03558 3.2388
364 2.03558 3.18809
365 2.03558 3.13837
366 2.03558 3.81612
367 2.03558 3.7208
368 2.03558 3.69038
369 2.03558 3.53364
370 2.03558 3.47666
371 2.03558 3.39192
372 2.01837 3.40103
373 2.01837 3.4562
374 2.01837 3.34784
375 2.01837 3.40865
376 2.01837 3.39841
377 2.01837 3.38954
378 2.01837 3.41509
379 2.01837 3.515
380 2.01837 3.47214
381 2.01837 3.51963
382 2.01837 3.48493
383 2.01837 3.3214
384 2.01837 3.28615
385 2.01837 3.25402
386 2.01837 3.30383
387 2.01837 3.41586
388 2.01837 3.40228
389 2.01837 3.4211
390 2.01837 3.38445
391 2.01837 3.35501
392 2.01837 3.20321
393 2.01655 3.25932
394 2.01655 3.36594
395 2.01655 3.62094
396 2.01266 3.74833
397 2.01266 3.71145
398 2.00018 3.71462
399 2.00018 3.7682
400 2.00018 3.84834
401 2.00018 3.88104
402 2.00018 3.98872
403 1.98881 3.83795
404 1.98881 3.79787
405 1.98881 3.62465
406 1.98881 3.55217
407 1.98881 3.67998
408 1.98881 3.57732
409 1.98881 3.57897
410 1.98881 3.66593
411 1.98881 3.5714
412 1.98881 3.56018
413 1.9815 3.3583
414 1.9815 3.54351
415 1.9815 3.47776
416 1.9815 3.35258
417 1.9815 3.41217
418 1.9815 3.36831
419 1.9815 3.5083
420 1.9815 3.41771
421 1.94612 3.52185
422 1.94612 3.49066
423 1.94612 3.49837
424 1.94612 3.48369
425 1.94612 3.3703
426 1.94612 3.19918
427 1.94612 3.19436
428 1.93062 3.15293
429 1.93062 3.08912
430 1.93062 3.03141
431 1.93062 3.01587
432 1.93062 3.02918
433 1.90792 2.97946
434 1.88881 3.05951
435 1.88881 3.04184
